postcode,latitude,longitude,population_1hr_drive
AB,57.29199065308671,-2.673874775928612,417203.0
AL,51.7817005074323,-0.2950971339541468,11600899.0
B,52.42733217777841,-1.8501469940461528,5892077.0
BA,51.181908248104,-2.410216369150576,2057653.0
BB,53.84135148426223,-2.355517549475884,5828577.0
BD,54.00275277592642,-2.0481919102804413,3824926.0
BH,50.75381299285149,-1.952540948093876,1642236.0
BL,53.60829948773206,-2.416895441006476,7289171.0
BN,50.853928565024816,-0.0808573977347851,2981840.0
BR,51.38255286152359,0.0735571567026547,9503551.0
BS,51.42440545614418,-2.696597629853052,2863441.0
CA,54.70277792948306,-2.9162227713125937,489158.0
CB,52.21823470949754,0.246867214340548,4607646.0
CF,51.57923516780125,-3.4094588152616176,1867919.0
CH,53.25347833022855,-3.0564445416544865,5288735.0
CM,51.765679394641616,0.4735791562474846,6690688.0
CO,51.93216465400569,0.8725662682695801,2855741.0
CR,51.33020064597641,-0.0844710428551645,9721579.0
CT,51.24306863435633,1.2035761165095993,1782031.0
CV,52.3296856727537,-1.5046911617614294,6762823.0
CW,53.14052986437508,-2.4774503488401884,6736353.0
DA,51.4165468887769,0.2688750322525076,10889640.0
DD,56.70278394488615,-2.840271732544367,836399.0
DE,52.96195001570541,-1.5837551106687562,5676145.0
DG,55.05642478636394,-3.999125819850256,111239.0
DH,54.81939566995816,-1.7156527378376043,2628885.0
DL,54.49556744840833,-1.856035864155699,2034133.0
DN,53.541616007707006,-0.7036898533048433,1932841.0
DT,50.78814019427452,-2.475727092002645,1124149.0
DY,52.41411365986089,-2.288340481690799,4888772.0
E,51.558129230012646,-0.0016617053814704,10848248.0
EC,51.51859533277471,-0.0941522067564811,11102840.0
EH,55.85142348646165,-3.139229652869868,2399260.0
EN,51.69579026562921,-0.0855060727978856,9814030.0
EX,50.88232122765163,-3.845996210553105,465328.0
FK,56.2389946185615,-4.187046370580187,2216503.0
FY,53.83417771641584,-3.017074442818848,3047814.0
G,55.993212959905456,-4.438943600899946,
GL,51.82001475747739,-2.128136154408886,2414846.0
GU,51.14528457613475,-0.7468865255248761,6230243.0
HA,51.59092848747396,-0.3510886478193696,10780098.0
HD,53.60354140334483,-1.7943655883216965,7000940.0
HG,54.10231598255836,-1.6530739550213558,3319392.0
HP,51.75220789327444,-0.76226382400468,7921547.0
HR,52.08265226765016,-2.784044360829529,1023928.0
HS,57.83783331075904,-6.921637966221661,
HU,53.76366828019671,-0.2482409523084799,1213473.0
HX,53.72346974571608,-1.9530358978749365,6205677.0
IG,51.601939503874114,0.0763435603675829,11039106.0
IP,52.26977584758873,1.0443118925172603,1881961.0
IV,57.69605870570573,-4.959767799923038,
KA,55.46310818296308,-4.672449889193911,1652638.0
KT,51.33503990637195,-0.3636858408532247,11517406.0
KW,58.639721158383104,-3.412863765588682,27714.0
KY,56.21655758193474,-3.1402282554391063,2028900.0
L,53.49109768971428,-2.927053459160184,6634850.0
